Date : 2023-03-03 14:49:58
Directory : c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src
Total : 69 files,  3164 codes, 170 comments, 604 blanks, all 3938 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         57 |      2,823 |        170 |        575 |      3,568 |
| JSON           |          1 |        219 |          0 |          1 |        220 |
| CSS            |          1 |        112 |          0 |         18 |        130 |
| JavaScript     |         10 |         10 |          0 |         10 |         20 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |         69 |      3,164 |        170 |        604 |      3,938 |
| . (Files)                                                                                                             |          2 |        102 |          3 |         21 |        126 |
| components                                                                                                            |         18 |        614 |         36 |        115 |        765 |
| context                                                                                                               |          3 |        137 |          9 |         23 |        169 |
| data                                                                                                                  |          1 |        219 |          0 |          1 |        220 |
| hooks                                                                                                                 |         17 |        450 |         34 |        162 |        646 |
| hooks (Files)                                                                                                         |          7 |        168 |          9 |         46 |        223 |
| hooks\reactQueryHooks                                                                                                 |         10 |        282 |         25 |        116 |        423 |
